location,sources of water,presence of open sewage,past cases of lead poisoning,proximity to industries,women and children population,proximity to dumpsite,number_of garages in an area
Changamwe,Yes,Yes,199,199,199,199,199
Syokimau,No,No,89,89,89,89,89
Umoja,No,No,90,90,90,90,90
Mwiki,Yes,Yes,123,123,123,123,123
Kileleshwa,No,No,907,907,907,907,907
Nyali,Yes,Yes,345,345,345,345,345
Chonyi,No,No,567,567,567,567,567
Ganze,Yes,Yes,67,67,67,67,67
Kaloleni,No,No,567,567,567,567,567
Kauma,No,No,678,678,678,678,678
Kilifi North,No,No,890,890,890,890,890
Kilifi South,Yes,Yes,234,234,234,234,234
Magarini,No,No,567,567,567,567,567
Malindi,No,No,78,78,78,78,78
Rabai,Yes,Yes,56,56,56,56,56
Mandera West,No,No,234,234,234,234,234
Banisa,Yes,Yes,789,789,789,789,789
Nairobi,No,No,890,890,890,890,890
Kisumu central,Yes,Yes,234,234,234,234,234
Njiru in Nairobi,No,No,456,456,456,456,456
Njiru in Nairobi,Yes,Yes,234,234,234,234,234
Mandera North,Yes,Yes,234,234,234,234,234
Buuri East,No,No,678,678,678,678,678
Buuri West,No,No,567,567,567,567,567
Igembe Central,No,No,678,678,678,678,678
Igembe North,Yes,Yes,679,679,679,679,679
Igembe South,No,No,78,78,78,78,78