location,sources_of_water,presence_of_open_sewage,past_cases_of_lead_poisoning,proximity_to_industries,women_and_children_population,proximity_to_dumpsite,number_of_garages_in_area
KAHAWA SUKARI,No,No,10,10,10,10,10
Clay city,Yes,Yes,80,80,80,80,80
Syokimau,Yes,Yes,67,67,67,67,67
Umoja,No,No,89,89,89,89,89
Mwiki,Yes,Yes,67,67,67,67,67
Kileleshwa,No,No,78,78,78,78,78
Kakamega,Yes,Yes,90,90,90,90,90
Akirachix,No,No,89,89,89,89,89
Kisumu,Yes,Yes,78,78,78,78,78
Kakamega,No,No,89,89,89,89,89
Mwihoko,Yes,Yes,90,90,90,90,90
Nairobi,No,No,78,78,78,78,78
Waithaka,Yes,Yes,89,89,89,89,89
Lurambi,Yes,Yes,67,67,67,67,67
Muthaiga north,No,No,67,67,67,67,67
"Nairobi, Roysambu Mirema",Yes,Yes,45,45,45,45,45
Lower Kabete,No,No,3,3,3,3,3
Naivasha,Yes,Yes,78,78,78,78,78
Nairobi,No,No,90,90,90,90,90
Kisumu central,Yes,Yes,45,45,45,45,45
Njiru in Nairobi,No,No,34,34,34,34,34
Njiru in Nairobi,Yes,Yes,89,89,89,89,89
Kasarani,No,No,45,45,45,45,45
Kimbo,Yes,Yes,90,90,90,90,90
"Utawala, Mihango",Yes,Yes,6,6,6,6,6
Subukia,No,No,34,34,34,34,34
Kitengela,Yes,Yes,4,4,4,4,4